Date,open,high,low,close,volume,adjusted close
2021-07-14,136.6,149.57,135.76,149.15,854168596,149.15
2021-06-30,125.08,137.41,123.13,136.96,1606114354,136.96
2021-05-28,132.04,134.07,122.25,124.61,1711935110,124.61
2021-04-30,123.66,137.07,122.49,131.46,1889956694,131.2383
2021-03-31,123.75,128.72,116.21,122.15,2650845211,121.944
2021-02-26,133.75,137.877,118.39,121.26,1825486961,121.0555
2021-01-29,133.52,145.09,126.382,131.96,2239366098,131.5402
2020-12-31,121.01,138.789,120.01,132.69,2319687808,132.2679
2020-11-30,109.11,121.99,107.32,119.05,2122724412,118.6713
2020-10-30,117.64,125.39,107.72,108.86,2895317580,108.3266
2020-09-30,132.76,137.98,103.1,115.81,3886793083,115.2426
2020-08-31,432.8,515.14,126,129.04,1184207050,128.4077
2020-07-31,365.12,425.66,356.58,425.04,755162226,105.5446
2020-06-30,317.75,372.38,317.21,364.8,810900890,90.586
2020-05-29,286.25,324.24,285.85,317.94,701660022,78.9499
2020-04-30,246.5,294.53,236.9,293.8,816530808,72.7631
2020-03-31,282.28,304,212.61,254.29,1570331732,62.978
2020-02-28,304.3,327.22,256.37,273.36,755223231,67.7009
2020-01-31,296.24,327.85,292.75,309.51,734044103,76.4699
2019-12-31,267.27,293.97,256.29,293.65,598871365,72.5514
2019-11-29,249.54,268,249.16,267.25,448922253,66.0288
2019-10-31,225.07,249.75,215.13,248.76,621478768,61.2787
2019-09-30,206.43,226.42,204.22,223.97,547408488,55.172
2019-08-30,213.9,218.03,192.58,208.74,683515746,51.4203
2019-07-31,203.17,221.37,198.41,213.04,473957094,52.2792
2019-06-28,175.6,201.57,170.27,197.92,515218768,48.5689
2019-05-31,209.88,215.31,174.99,175.07,739456573,42.9615
2019-04-30,191.64,208.48,188.38,200.67,506117812,49.0521
2019-03-29,174.28,197.69,169.5,189.95,650981384,46.4317
2019-02-28,166.96,175.87,165.93,173.15,472540723,42.3251
2019-01-31,154.89,169,142,166.44,828099179,40.5114
2018-12-31,184.46,184.94,146.59,157.74,898917007,38.3938
2018-11-30,219.05,222.36,170.26,178.58,961321947,43.4662
2018-10-31,227.95,233.47,206.09,218.86,789748068,53.0845
2018-09-28,228.41,229.67,215.3,225.74,678972040,54.7532
2018-08-31,199.13,228.87,197.31,227.63,700318837,55.2116
2018-07-31,183.82,195.96,183.42,190.29,393843881,45.993
2018-06-29,187.99,194.2,180.73,185.11,527624365,44.741
2018-05-31,166.41,190.37,165.27,186.87,620976206,45.1664
2018-04-30,166.64,178.94,160.63,165.26,666360147,39.7893
2018-03-29,178.54,183.5,164.94,167.78,701387082,40.396
2018-02-28,167.17,180.62,150.24,178.12,888378184,42.8856
2018-01-31,170.16,180.1,164.7,167.43,639245534,40.15
2017-12-29,169.95,177.2,166.46,169.23,518560008,40.5817
2017-11-30,169.87,176.24,165.28,171.85,581374608,41.2099
2017-10-31,154.26,169.6499,152.46,169.04,496135305,40.3904
2017-09-29,164.8,164.94,149.16,154.12,669594016,36.8254
2017-08-31,149.1,164.52,148.41,164,638221161,39.1862
2017-07-31,144.88,153.99,142.41,148.73,411377229,35.394
2017-06-30,153.17,155.98,142.2,144.02,664986406,34.2731
2017-05-31,145.1,156.65,144.27,152.76,635292989,36.353
2017-04-28,143.71,145.46,140.06,143.65,371280180,34.0458
2017-03-31,137.89,144.5,137.05,143.66,562091214,34.0481
2017-02-28,127.03,137.48,127.01,136.99,574968547,32.4673
2017-01-31,115.8,122.44,114.76,121.35,563331160,28.6373
2016-12-30,110.365,118.0166,108.25,115.82,608771645,27.3323
2016-11-30,113.46,113.77,104.08,110.52,721554967,26.0815
2016-10-31,112.71,118.69,112.28,113.54,686914224,26.6559
2016-09-30,106.14,116.18,102.53,113.05,970096738,26.5408
2016-08-31,104.41,110.23,104,106.1,630128567,24.9092
2016-07-29,95.49,104.55,94.37,104.21,685779613,24.3344
2016-06-30,99.02,101.89,91.5,95.6,780630235,22.3239
2016-05-31,93.965,100.73,89.47,99.86,901144768,23.3187
2016-04-29,108.78,112.39,92.51,93.74,872383623,21.7565
2016-03-31,97.65,110.42,97.42,108.99,745756771,25.296
2016-02-29,96.47,98.89,92.59,96.69,810862547,22.4412
2016-01-29,102.61,105.85,92.39,97.34,1271848087,22.4711
2015-12-31,118.75,119.86,104.82,105.26,922626259,24.2995
2015-11-30,119.87,123.82,111,118.3,750606735,27.3098
2015-10-30,109.07,121.22,107.31,119.5,1113703829,27.4687
2015-09-30,110.18,116.89,107.36,109.95,1203789074,25.2735
2015-08-31,121.5,122.57,92,112.76,1606359115,25.9194
2015-07-31,126.9,132.97,119.22,121.3,1058280697,27.7571
2015-06-30,131.2,131.39,124.48,125.425,878606841,28.701
2015-05-29,126.1,132.97,123.36,130.28,954152126,29.812
2015-04-30,124.82,134.54,123.1,125.15,996135511,28.5197
2015-03-31,129.25,130.28,121.63,124.43,1138641910,28.3556
2015-02-27,118.05,133.6,116.08,128.46,1136535493,29.274
2015-01-30,111.39,120,104.63,117.16,1304879185,26.5947
2014-12-31,118.81,119.25,106.26,110.38,1073775862,25.0556
2014-11-28,108.22,119.75,107.72,118.93,820471729,26.9964
2014-10-31,100.59,108.04,95.18,108,1360280122,24.4098
2014-09-30,103.06,103.74,96.14,100.75,1523782675,22.7712
2014-08-29,94.9,102.9,93.28,102.5,930931500,23.1668
2014-07-31,93.52,99.44,92.57,95.6,1035191700,21.5003
2014-06-30,633.96,651.26,89.65,92.93,853194497,20.8998
2014-05-30,592,644.17,580.33,633,204845300,20.3372
2014-04-30,537.76,599.43,511.33,590.09,229823600,18.8531
2014-03-31,523.42,549,522.81,536.74,178632100,17.1486
2014-02-28,502.61,551.19,499.3,526.24,210013100,16.8131
2014-01-31,555.68,560.2,493.55,500.6,313069800,15.8993
2013-12-31,558,575.1358,538.8,561.02,252049900,17.8183
2013-11-29,524.02,558.33,512.38,556.07,186612700,17.6611
2013-10-31,478.45,539.25,478.28,522.702,279919000,16.5047
2013-09-30,493.1,507.92,447.22,476.75,308247900,15.0537
2013-08-30,455.7527,513.74,453.26,487.216,287797800,15.3842
2013-07-31,402.69,457.3425,401.22,452.53,233504100,14.195
2013-06-28,450.73,454.43,388.87,396.53,250662000,12.4384
2013-05-31,444.46,465.75,418.9,449.735,337411800,14.1073
2013-04-30,441.9,445.25,385.1,442.78,391553200,13.797
2013-03-28,438,469.95,419,442.66,327745600,13.7933
2013-02-28,459.11,484.94,437.66,441.4,333715500,13.754
2013-01-31,553.82,555,435,455.49,468693700,14.1132
2012-12-31,593.65,594.59,501.23,532.1729,433312600,16.4892
2012-11-30,598.22,603,505.7501,585.28,461780400,18.1347
2012-10-31,671.5,676.75,587.7,595.32,433672500,18.3586
2012-09-28,665.76,705.07,656,667.105,328535900,20.5723
2012-08-31,615.905,680.87,600.25,665.24,295578800,20.5148
2012-07-31,584.73,619.87,570,610.76,318201800,18.7547
2012-06-29,569.16,590,548.5,584,280565200,17.933
2012-05-31,584.9,596.76,522.18,577.73,396655200,17.7404
2012-04-30,601.83,644,555,583.98,557106800,17.9324
2012-03-30,548.17,621.45,516.221,599.55,556583500,18.4105
2012-02-29,458.41,547.61,453.98,542.44,406019800,16.6568
2012-01-31,409.4,458.24,409,456.48,244994800,14.0172
2011-12-30,382.54,409.09,377.68,405,225233300,12.4364
2011-11-30,397.41,408,363.32,382.2,320132200,11.7363
2011-10-31,380.37,426.7,354.24,404.78,469336700,12.4296
2011-09-30,385.82,422.86,366.48,381.32,427766000,11.7092
2011-08-31,397.78,399.5,353.02,384.83,576521400,11.817
2011-07-29,335.95,404.5,334.2,390.48,380498100,11.9905
2011-06-30,348.87,352.132,310.5,335.67,330851800,10.3075
2011-05-31,349.74,351.83,329.42,347.83,246859300,10.6809
2011-04-29,351.11,355.13,320.16,350.13,330493900,10.7515
2011-03-31,355.47,361.67,326.26,348.5075,403802100,10.7017
2011-02-28,341.3,364.9,337.72,353.21,331998200,10.8461
2011-01-31,325.64,348.6,324.8365,339.32,387197700,10.4195
2010-12-31,315.27,326.66,314.89,322.56,249044100,9.9049
2010-11-30,302.22,321.3,297.76,311.15,339574500,9.5545
2010-10-29,283.75,319,277.77,300.98,436949200,9.2422
2010-09-30,247.47,294.73,246.28,283.75,423211400,8.7131
2010-08-31,260.44,264.28,235.56,243.1,342468600,7.4649
2010-07-30,254.3,265.99,239.6,257.25,559632300,7.8994
2010-06-30,259.69,279.01,242.2,251.53,594687600,7.7238
2010-05-28,263.84,267.88,199.25,256.88,645809100,7.888
2010-04-30,237.49,272.46,232.75,261.09,441683200,8.0173
2010-03-31,205.75,237.48,205.45,235,434077600,7.2162
2010-02-26,192.37,205.17,190.85,204.62,384860000,6.2833
2010-01-29,213.43,215.59,190.25,192.063,541749800,5.8977
