timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-07-14,403.5600,416.9300,402.2100,413.0000,413.0000,229595,0.0000
2021-06-30,381.1300,405.7100,373.7100,403.9800,403.9800,831558,0.1434
2021-05-28,385.2200,385.4300,355.8360,379.1000,378.9597,860033,0.0000
2021-04-30,365.1400,392.3700,365.0000,383.3600,383.2181,848897,0.0000
2021-03-31,364.1600,369.7200,338.1787,360.8500,360.7164,992760,0.2137
2021-02-26,350.6700,382.3100,349.4900,358.3600,358.0095,638246,0.0000
2021-01-29,351.1400,364.3372,340.2800,347.7500,347.4099,657497,0.0000
2020-12-31,337.5900,352.3400,333.3500,349.8300,349.4878,651986,0.1728
2020-11-30,303.1400,336.5000,298.1500,335.3600,334.8612,773616,0.0000
2020-10-30,313.0000,331.6800,297.9500,300.7700,300.3226,1161903,0.0000
2020-09-30,330.2300,338.5900,290.4400,309.0600,308.6003,1524284,0.2554
2020-08-31,300.5800,329.3700,297.7300,327.2200,326.4502,1339248,0.0000
2020-07-31,279.1000,300.0300,279.0000,297.8900,297.1892,1551093,0.0000
2020-06-30,263.6600,284.5400,261.4400,279.1400,278.4833,1289717,0.2874
2020-05-29,240.7100,267.0000,236.0100,264.6100,263.7063,1199821,0.0000
2020-04-30,205.0200,247.5900,199.6400,246.0000,245.1599,1580316,0.0000
2020-03-31,237.8200,248.3400,183.2700,211.7700,211.0468,2879133,0.4078
2020-02-28,252.1700,271.0900,224.0200,235.0100,233.7420,1620421,0.0000
2020-01-31,244.4400,260.3200,242.1900,251.4700,250.1132,1066679,0.0000
2019-12-31,234.9600,244.9000,227.4200,242.1500,240.8435,765686,0.3196
2019-11-29,225.3600,235.7100,224.9400,234.8100,233.2300,474897,0.0000
2019-10-31,218.1000,225.2900,208.9200,224.0600,222.5524,546409,0.0000
2019-09-30,215.3900,224.0900,213.8700,217.0200,215.5597,629182,0.2657
2019-08-30,223.0300,227.2400,207.1900,216.8700,215.1462,839005,0.0000
2019-07-31,219.9300,228.8000,218.0000,222.8300,221.0588,723300,0.0000
2019-06-28,200.6200,218.2500,194.3100,215.6500,213.9359,837397,0.3399
2019-05-31,221.1500,221.2100,200.9500,201.1200,199.2003,991185,0.0000
2019-04-30,208.2300,221.5100,207.4700,219.4800,217.3850,823897,0.0000
2019-03-29,200.0000,210.4000,193.3200,206.2100,204.2417,756357,0.2789
2019-02-28,188.9400,200.3400,188.9400,198.4000,196.2405,725581,0.0000
2019-01-31,168.5000,190.3700,165.5200,189.5300,187.4671,1062722,0.0000
2018-12-31,191.8400,192.0000,159.3000,171.7107,169.8417,2448001,0.2499
2018-11-30,188.5900,194.5000,171.5200,187.1300,184.8273,1476668,0.0000
2018-10-31,210.5300,211.3400,176.6500,188.0800,185.7656,5545288,0.0000
2018-09-28,209.8400,210.3000,203.6600,209.3800,206.8035,672702,0.2173
2018-08-31,197.0800,211.5800,195.6700,210.4700,207.6631,1122192,0.0000
2018-07-31,191.3300,206.4900,191.2200,196.2300,193.6130,923739,0.0000
2018-06-29,193.9400,201.7700,190.3100,192.8900,190.3175,1593875,0.2947
2018-05-31,180.4900,194.2200,180.0800,192.9000,190.0382,776220,0.0000
2018-04-30,178.2300,187.4800,172.1400,180.9000,178.2162,1097090,0.0000
2018-03-29,185.9200,195.6000,174.5000,179.4300,176.7680,1248987,0.2249
2018-02-28,183.9100,189.0400,164.9300,185.7300,182.7496,1158008,0.0000
2018-01-31,169.6200,186.2400,169.4900,184.7100,181.7460,786130,0.0000
2017-12-29,167.9500,172.1800,163.6400,168.7900,166.0814,1293518,0.2267
2017-11-30,167.7700,172.3200,165.9154,168.9000,165.9696,468234,0.0000
2017-10-31,155.6000,167.2600,154.8500,166.9900,164.0928,579758,0.0000
2017-09-29,154.3900,155.6530,151.3122,155.2800,152.5859,883300,0.2457
2017-08-31,151.4300,154.1300,148.0000,154.0300,151.1134,520413,0.0000
2017-07-31,145.2700,154.5600,143.1310,150.8700,148.0133,393814,0.0000
2017-06-30,148.6800,151.6100,143.2750,144.6400,141.9012,680506,0.2715
2017-05-31,142.6000,149.0100,142.1000,148.3180,145.2386,645647,0.0000
